Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #,Name
9,24.99,5922,79,2023,359,ghosts of tabor
10,0,40186,77,2022,1859,stalcraft
11,24.99,203,72,2024,203,the brew barons
12,29.99,13213,73,2023,599,the division 2
13,39.99,27733,83,2014,27733,borderlands the pre-sequel
14,69.99,4440,78,2024,3732,suicide squad
15,19.99,79716,93,2021,382,gunfire reborn season 1
16,9.99,425116,89,2013,1525,payday 2
17,9.99,4861,87,2023,349,Magicraft
18,19.99,8638,87,2022,196,zero sievert
19,29.99,2122,77,2021,19,after the fall
20,19.99,44915,66,2021,140,outriders
21,0,535481,91,2017,2675,unturned
22,29.99,12128,75,2022,106,marauders
23,0,110,64,2006,0,japanese 21
24,0,2556,54,2024,993,hawked
25,14.99,1343,67,2022,0,from space
26,29.99,70510,71,2016,309,the division
27,0,4710,67,2023,79,synced
28,19.99,131,77,2022,0,holomento
29,19.99,266,88,2023,266,nienix
30,29.99,337,70,2023,337,requisition
31,29.99,11844,86,2023,193,borderlands goty enhanced
32,14.99,915,62,2023,10,relic hunters legend
33,8.99,1566,86,2022,41,insect swarm
34,10.99,67,73,2023,67,poly roam
35,4.99,2995,95,2003,21,alien shooter
36,29.99,22082,87,2016,125,shadow warrior
37,24.99,2978,93,2022,20,nightmare reaper
38,24.99,286,81,2023,27,battle shapers
39,4.99,34,88,2024,34,godsvivors
40,11.99,210,74,2022,15,eargone
41,7.99,71,80,2023,71,survivor mercs
42,9.99,9,55,2024,9,delivery boy
1,4.99,75,94,2024,75,Space Will
2,19.99,6440,95,2015,98,Caves fo Qud
3,0,278,61,2023,37,Supreme Summoner
4,14.99,258,95,2021,30,The Doors of Trithius
5,19.99,293,93,2023,22,Cataclysm Dark Days Ahead
6,17.99,176,89,2023,34,Soulash 2
7,6.99,747,88,2023,18,Endgame of Devil
8,19.99,1082,94,2017,18,Cogmind
9,9.99,480,99,2023,37,Path of Achra
10,19.99,649,78,2020,0,Shiren The Wanderer
11,9.99,1050,95,2022,20,Shattered Pixel Dungeon
12,11.99,49,89,2024,22,Rogue Fable 4
13,6.99,5157,95,2012,32,Tales of Maj'Eyal
14,24.99,266,90,2022,0,Monster Girls & The Mysterious 2
15,19.99,130,68,2023,130,Liberte Join the Revolution
16,0,328,79,2024,77,Monster Tiles TD
17,10.99,1057,93,2016,0,Unreal World
18,7.99,3494,94,2011,0,Dungeons of dredmor
19,14.99,62,95,2023,62,deadnaut signal lost
20,14.99,2814,90,2017,12,low magic age
21,11.99,418,88,2019,0,dredgers
22,9.99,342,97,2015,0,hyperrouge
23,9.99,657,93,2021,0,rogue fable 3
24,3.49,3355,94,2014,0,one way heroics
25,0,114,85,2024,31,summon masters
26,19.99,375,49,2021,0,ultimate adom caverns of chaos
27,14.99,991,83,2018,0,tangledeep
28,4.99,1087,84,2013,0,the pit osmium
29,10,1052,78,2022,0,fateseeker journy
30,4.99,454,78,2014,0,quest of dungeons
31,24.99,1373,91,2021,0,jupiter hell
32,9.99,24,83,2022,0,ampersat
33,7.99,1083,86,2016,0,wayward
34,2.99,367,96,1985,0,rogue
35,4.99,29,75,2015,0,xlarn
36,14.99,322,84,2019,0,rogue empire
37,5.99,43,81,2023,43,the wratch's den
38,10.99,77,77,2023,77,xenoworld the ronde..
39,5.99,191,89,2022,0,zorbus
40,2.99,338,83,2022,0,another farm roguelike
41,4.99,390,89,2015,0,pixel dungeon
42,5.99,298,84,2023,298,journy to the west survivor
43,19.99,93,66,2022,0,tower princess
44,24.99,6314,77,2022,0,chinese shit
1,29.99,342,85,2023,32,Wizardry
2,0,5496,79,2023,242,Town of Salem 2
3,4.99,2086,89,2020,11,Agrou
4,3.99,60,93,2023,13,lycans
5,4.99,31003,89,2014,50,Town of Salem
6,0,704,83,2023,53,Wolvesville
7,14.99,589,86,2020,0,Werewolf The Apocalypse
8,5.99,86,96,2023,86,Trust no Bunny
9,5.99,185,90,1995,0,The Beast Within
10,9.99,101,74,2016,0,Wailing Heights
11,4.99,86,74,2022,0,El Paso Nightmare
12,14.99,536,81,2022,0,Wigmund
13,5.99,21,95,2023,0,The Wolf of Derevnya
14,7.99,106,85,2019,0,Sinister Halloween
15,9.99,4,25,2023,4,magic city detective
16,6.99,14,50,2022,0,connected hearts
17,14.99,108,82,2020,0,terrordrome
18,2.99,1,100,2020,0,retropixel color palette
19,7.99,67,92,2023,67,blood moon
20,6.99,42,95,2020,0,werewolves 2 pakc mentality
21,4.99,4,100,2024,4,american werewolf in la
22,1.99,26,73,2021,0,the dark world edge of eternity
23,4.99,6,100,2023,6,wolf
24,1.99,11,100,2020,0,Journy of the witch emily
25,4.99,13,100,2021,0,freebooter of sploot
30,1.99,6,67,2021,0,color by number monster heroes
31,1.99,8,50,2021,0,lost in terra mora
32,0,19,78,2021,0,the wolf's den
33,2.99,8,50,2021,0,selen's nightmare
34,3.99,7,86,2021,0,hoguru presents: the hosue within
35,1.99,29,96,2022,0,jigsaw bestiary
40,5.99,7,100,2023,7,the last werewolf
1,39.99,273363,90,2020,3107,Sea of Thieves 2023 Edition
2,24.99,40743,90,2020,625,Stormworks
3,0,1506,43,2023,20,Uncharted Waters origin
4,0,132,65,2021,0,Chinese Text Online
5,0,12045,57,2019,131,Naval Action
6,9.99,5087,94,2005,80,Sid Meiers Pirates
7,29.99,527,67,2024,527,Caribbean Legend
8,0,53,56,2023,12,Conquest of Empires 2
9,19.99,240,56,2023,13,Seagrama World of Shipping
10,10.99,92,93,2024,92,Lazaret
11,29.99,233,87,2022,0,Captain Bones
12,24.99,3507,79,2023,63,Sailing Era
13,37.99,539,94,2019,0,eSail
14,24.99,68,51,2024,68,Tortuga A Pirate's Tale
15,17.99,430,66,2024,273,Corsairs Legacy
16,29.99,36345,47,2018,59,Atlas
17,19.99,889,59,2020,0,Windbound
18,39.99,1129,58,2020,0,port royale 4
19,29.99,1700,79,2021,0,age of sail
20,39.99,37,86,2022,0,virtual sailor ng
21,24.99,520,57,2021,0,king of seas
22,19.99,832,96,2020,0,horizon's gate
23,39.99,868,69,2018,0,sailaway
24,17.99,319,83,2022,0,buccaneers!
25,24.99,2177,79,2018,11,fishing barents sea
26,9.99,150,91,2023,150,islands of the caliph
27,19.99,394,93,2022,12,sail forth
28,14.99,1679,70,2016,0,tempest
29,0,7536,62,2019,64,lands
30,19.99,1143,59,2015,0,blood & gold caribbean
31,14.99,627,71,2018,0,escape the pacific
32,0,133,65,2021,0,chinese shit
33,14.99,58,82,2022,0,sail
34,14.99,1047,72,2012,0,port royale 3
35,0,117,75,2022,0,maritime hegemony
36,19.99,1211,52,2020,10,deadliest catch the game
37,14.99,304,43,2020,0,the viking way
38,9.99,101,32,2023,101,kingdom of wreck business
39,6.99,19,84,2021,0,cruise ship handling
40,14.99,1826,73,2016,26,sea dogs to each his own
41,4.99,524,70,2019,0,uncharted ocean
42,7.99,196,73,2009,0,sea dogs city of abandoned ships
43,19.99,32,88,2019,0,marine verse cup
44,14.99,1939,76,2018,0,salt
45,19.99,565,41,2016,0,european ship simulator
46,0.99,374,96,2022,11,sunset routes
1,29.99,78825,95,2019,1206,Devil May Cry 5
2,0,1235,56,2008,0,Cosmic Break Universal
3,24.99,90372,98,2020,4196,Ultrakill
4,29.99,7748,91,2018,150,Devil May Cry HD Collection
5,24.99,11419,89,2015,111,Devil May Cry 4 Special Edition
6,29.99,16965,93,2013,94,Devil May Cry
7,29.99,20121,97,2023,479,Hi-Fi Rush
8,29.99,57668,96,2014,822,Metal Great Rising Revengeance
9,0,10073,73,2020,55,Soul Worker
10,24.99,1126,76,2023,82,Cuisineer
11,0,7614,71,2021,156,Smash Legends
12,39.99,1103,76,2021,12,Ninja Gaiden Master Collection
13,19.99,22088,92,2017,172,Bayonetta
14,49.99,5707,74,2022,158,Evil West
15,7.99,4849,89,2022,100,Just Act Natural
16,49.99,152,76,2023,152,Dragon quest treasures
17,12.99,328,85,2021,0,fearmonium
18,14.99,331,95,2018,0,lucah born of a dream
19,14.99,251,96,2023,27,reaver
20,19.99,5724,89,2017,43,vanquish
21,19.99,3446,77,2014,12,killer is dead
22,19.99,913,90,2021,65,garden story
23,29.99,1813,88,2023,67,eternights
24,10.99,23318,90,2016,156,icey
25,10.99,98,88,2020,0,chupa chupa vr
26,9.99,475,84,2018,0,catmaze
27,15.99,466,86,2022,0,valkyrie
28,39.99,1104,78,2022,21,soulstice
29,14.99,682,80,2020,12,bloodrayne
30,21.99,2749,86,2020,24,vigil
31,14.99,160,90,2009,0,wallace & gromits grand adventures
32,12.99,999,59,2009,0,x blades
33,39.99,1103,76,2021,12,Ninja Gaiden Master Collection
34,24.99,312,78,2017,0,ben 10
35,19.99,188,76,2020,0,belicta
36,8.99,325,93,2016,0,sora
37,29.99,534,89,2019,17,hello neighbor: hide & seek
38,9.99,745,83,2012,11,blades of time
39,14.99,163,68,2020,0,saber fight
40,16.99,306,77,2023,306,vernal edge
41,19.99,527,68,2016,0,anima gate of memories
42,16.99,39,92,2022,0,numina
1,14.99,38358,89,2018,285,Pummel party
2,19.99,1569,84,2023,88,Gunsmith Simulator
3,19.99,51756,95,2018,986,yakuza 0
4,19.99,10756,95,2019,262,yakuza 2
5,19.99,13175,93,2019,391,yakuza
6,8.99,637,94,2018,0,the office quest
7,29.99,281,75,2022,55,bratz flaunt your fashion
8,16.99,2714,76,2017,14,party panic
9,0,790,82,2022,44,microworks
10,17.99,2022,96,2019,25,later alligator
11,14.99,4062,93,2019,42,swords & souls neverseen
12,34.99,254,54,2021,0,flaklypa grand prix
13,4.99,725,98,2024,10,kukoro stream chat games
14,4.99,230,92,2023,230,deducto 2
15,13.99,0,84,2024,0,maze of realities
16,10.99,345,92,2017,0,attentat 1942
17,4.99,651,96,2022,16,a = b
18,9.99,559,93,2021,0,spookware
19,19.99,49,87,2017,0,loco dojo
20,14.99,147,100,2022,0,open day
21,14.99,254,93,2020,0,prodigal
22,4.99,2463,87,2012,0,mcpixel
23,13.99,1,100,2023,1,hidden object secrets
24,19.99,143,95,2020,0,pixel ripper 1995
25,9.99,1247,83,2007,72,rayman raving rabbits
26,21.99,47,70,2023,47,love too easily
27,19.99,165,92,2020,0,hotel rnr
28,1.99,378,94,2018,0,up left out
29,11.99,71,90,2021,0,karma city police
30,9.99,94,70,2021,0,until the last plane
31,7.99,56,91,2023,0,otome legends
32,4.99,114,81,2022,0,mimicry
33,5.99,20,100,2024,20,slippy the frog
34,9.99,286,61,2016,0,marooners
35,1.99,306,93,2019,0,naboki
36,2.49,46,95,2021,0,dinogotchi
37,5.99,2017,97,2021,15,pureya
38,1.99,243,86,2016,0,12 orbits
39,2.99,96,79,2016,0,slap village
1,39.99,92498,94,2020,2323,Detroit Become Human
3,24.99,141,79,2024,141,Bootstrap island
4,19.99,17111,88,2020,268,beyond two souls
5,9.99,6,83,2024,6,dreamio ai-powered adventures
6,14.99,16009,95,2013,136,call of juarez gunslinger
7,19.99,9723,83,2020,163,heavy rain
8,29.99,5056,88,2021,82,dark pictures house of ashes
9,14.99,38833,92,2013,94,the stanley parable
10,5.99,155,78,2024,53,writer's rush
11,19.99,3100,89,2021,28,curious expedition 2
12,2.99,214,51,2024,18,reigns 3 kingdoms
13,34.99,70,58,2024,22,unforetold witchstone
14,9.99,246,82,2022,0,psych
15,12.99,5936,91,2019,33,while true: learn
16,19.99,77,49,2023,77,salty hounds reboot
17,9.99,203,95,2023,10,atom eve
18,14.99,26864,95,2011,71,bastion
19,14.99,125,74,2022,0,linguist fps
20,29.99,1591,86,2020,19,observer
21,9.99,3,0,2023,3,scarlet hycinth
22,6.99,123,90,2023,123,family curse
23,29.99,299,74,2023,299,the pioneers surviving desolation
24,29.99,395,89,2023,395,finnish army simulator
25,14.99,3500,91,2016,0,curious expedition
26,19.99,1368,79,2016,0,event[0]
27,19.99,430,94,2020,0,lightmatter
28,29.99,1870,80,2022,57,martha is dead
29,24.99,388,84,2022,0,young souls
30,14.99,10,100,2024,10,cyber noir stories the trunk
31,18.99,2067,92,2020,13,change a homeless survival experience
32,19.99,50,88,2022,0,wolves on the westwind
33,19.99,767,43,2021,0,chinese crap
34,6.99,151,71,2023,151,"please, forgive me"
35,9.99,61,93,2022,0,kaichu
36,7.99,12,83,2024,12,the rule 7
37,6.99,83,74,2023,83,last lesson
38,6.99,685,87,2013,0,the journey down chapter 1
39,14.99,993,89,2016,0,deadly tower of monsters
40,13.99,0,84,2024,0,unsolved case: killer popularity
1,9.99,51324,90,2022,4010,escape the backrooms
3,14.99,11914,94,2021,323,escape simulator
4,29.99,4706,93,2017,28,the nonary games
5,17.99,10993,91,2022,289,we were here forever
6,12.99,10733,85,2019,289,we were here together
7,5.99,11350,94,2022,126,the past within
8,9.99,6431,80,2018,171,we were here too
9,16.99,221,93,2023,16,escape from mystwood mansion
10,19.99,687,86,2022,0,escape academy
11,19.99,491,87,2022,27,the inheritance of crimson manor
12,19.99,2070,90,2012,15,chaos of deponia
13,5.99,746,92,2023,37,unboxing the cryptic killer
14,8.99,13494,98,2021,228,the room 4 old sins
15,4.99,4588,98,2023,94,underground blossom
16,19.99,1019,89,2021,19,down in bermuda
17,3.99,5886,97,2016,57,rusty lake roots:
18,4.99,5367,98,2020,56,cube escape collection
19,19.99,82,97,2022,0,egression
20,14.99,276,67,2023,21,how 2 escape
21,80.96,3274,89,2002,23,syberia
22,80.96,1409,87,2004,11,syberia 2
23,19.99,2510,84,2016,14,desponia doomsday
24,15.99,97,93,2024,24,clem
25,7.99,282,86,2022,0,escape memoirs mansion heist
26,0,9093,97,2018,98,cube escape paradox
27,29.99,3282,97,2020,36,the room vr a dark matter
28,9.99,462,93,2023,17,creepy tale 3 ingrid penance
29,24.99,1030,96,2021,13,I expect you to die 2
30,10.99,105,80,2023,10,mystic academy
31,4.99,1994,86,2020,19,creepy tale
32,9.99,961,87,2021,16,creepy tale 2
33,19.99,453,95,2023,453,homebody
34,19.99,2629,78,2012,17,the testament of sherlock holmes
35,0,4194,86,2022,110,escape memoirs mini stories
36,12.99,54,59,2022,0,mad experiments 2
37,7.99,297,55,2002,0,post mortem
38,4.99,28,82,2023,28,whispers in the west
39,1.99,46,95,2024,46,her trees the puzzle house
40,14.99,19,100,2024,12,detective ridelle
41,9.99,362,88,2021,0,tested on humans
42,7.99,317,81,2014,0,return to mysterious island
43,19.99,2384,89,2013,10,the night of the rabbit
44,8.99,10,100,2024,10,paramnesia escape together
45,9.99,291,92,2010,0,the penal zone
46,9.99,179,69,2008,0,a vampyre story
47,19.99,1425,76,2014,11,the whispered world special edition
1,69.99,3171,87,2023,232,ghost runner
2,0,17605,89,2018,251,dark deception
3,9.99,835,77,2023,44,yeah you want those games
4,19.99,277,98,2023,16,bit trip
5,7.99,60,96,2024,60,decimate drive
6,1.99,878,88,2017,57,waveshaper
7,9.99,17,94,2024,17,the alto collection
9,19.99,11071,82,2016,179,mirror's edge catalyst
10,19.99,1992,81,2022,0,stide
11,1.99,161,99,2024,161,hotdog runner
12,9.99,204,92,2023,204,warstride challenges
13,5.99,158,77,2024,39,writer's rush
14,2.99,9128,81,2021,48,altf4
15,2.99,8663,91,2019,74,seen
16,4.99,14,85,2024,14,run pizza run
17,5.99,929,95,2015,14,dino run dx
18,6.99,824,90,2013,0,vector
19,14.99,1592,93,2013,0,runner 2
20,4.99,342,81,2021,0,the cargiver
21,2.99,86,87,2020,0,speed scars
22,9.99,2151,80,2021,0,hextech mayhem
23,4.99,615,92,2023,615,hans
24,3.99,328,75,2023,328,altf42
25,19.99,321,79,2016,0,tron runner
26,5.99,89,86,2007,0,free running
27,9.99,1891,94,2013,0,race the sun
28,4.99,443,60,2016,16,dead island retro revengers
29,3.99,165,86,2015,0,duck life retro pack
30,6.99,9,55,2023,9,sempiternal
31,5.99,65,100,2022,0,supercow
32,16.99,257,96,2020,0,panoptic
33,10.99,2641,93,2022,18,soda crisis
34,4.99,21,95,2024,21,rain runner
35,4.99,1301,93,2014,0,boson x
36,0.99,0,84,2024,0,og memory: synthwave cars
37,1.99,154,68,2023,154,kao mystery of volcano
38,2.99,155,81,2022,0,zodiac fantasy 2
39,4.99,11,100,2024,11,the shadow of the evil tower
40,18.99,3,100,2023,3,meiqi
41,3.99,12,91,2022,0,runout
42,2.99,21,76,1994,0,megarace
43,14.99,208,96,2022,0,melody's escape 2
44,15.99,448,90,2022,0,neodash
45,14.99,34,85,2024,34,kick bastards
1,9.99,16357,84,2024,16357,deep rock galactic survivor
2,14.99,3775,93,2020,54,atomicrops
3,0,45094,83,2012,155,realm of the mad god exalt
4,4.99,214798,98,2022,1899,vampire survivors
5,9.99,17157,98,2023,714,crab champions
6,4.99,378,96,2024,378,duelists of eden
7,19.99,139100,96,2017,1732,cuphead
9,4.99,69144,979,2023,1415,brotato
10,24.99,11297,95,2023,582,roboquest
11,9.99,195236,96,2015,1975,undertale
12,9.99,15916,90,2022,392,soulstone survivors
13,19.99,18294,87,2020,105,neon abyss
14,6.99,11874,93,2023,543,death must die
15,9.99,4891,87,2023,371,magicraft
16,17.99,9762,96,2019,80,novadrift
17,14.99,536,87,2024,168,spell disk
18,9.99,2936,67,2023,78,Apocalypse 2 party
19,14.99,69204,95,2016,530,enter the gungeon
20,4.99,711,97,2024,711,windowkill
21,9.99,5720,97,2022,355,tiny rogues between heaven & hell
22,7.99,35,97,2024,35,antipaint
23,59.99,17097,87,2021,139,nier replicant
24,19.99,17486,97,2018,189,just shapes & beats
25,0,1241,56,2008,0,cosmic break universal
26,5.99,3137,86,2023,162,god of weapons
27,14.99,1686,95,2023,30,patch quest
28,7.99,30138,69,2014,120,hero siege
29,7.99,1879,88,2023,39,army of ruin
30,19.99,38,100,2023,38,akka arrh
31,29.99,3337,93,2019,14,pistol whip
32,14.99,521,99,2024,172,angel at dusk
33,9.99,2078,87,2023,84,heretic's fork
34,4.99,123,55,2023,123,sun down
35,4.99,24735,91,2023,226,20 minutes till dawn
36,9.99,6661,90,2023,252,yet another zombie survivors
37,10.99,1506,85,2023,78,greedland
38,7.99,93,84,2024,93,touhou red empress devil
39,2.99,40,90,2024,17,just click the button
40,19.99,5576,94,2020,39,One step from eden
41,11.99,12831,96,2015,72,nuclear throne
42,9.99,820,93,2023,42,topple tactics
43,14.99,250,91,2023,12,whisker squadron survivor
44,4.99,3706,87,2022,179,nordic ashes
45,5.99,1500,92,2023,38,goobies
46,4.99,908,98,2023,130,picayune dreams
47,4.99,1467,71,2023,28,fatalzone
1,0,9378,71,2022,239,tower of fantasy
2,0,3546,87,2022,110,heaven burns red
3,39.99,3644,93,2021,64,ace attorney chronicles
4,14.99,18,66,2024,66,saving miss hinake
5,39.99,1141,73,2024,1141,terminator dark fate defiance
6,14.99,6425,97,2024,4128,murders on the yangtze river
7,49.99,1020,77,2024,131,undernight in-birth
9,49.99,4235,90,2022,161,crisis core final fantasy 7
10,0,8761,72,2021,178,honkai impact
11,0,10771,69,2023,213,torchlight infinite
12,19.99,196,79,2023,16,metal gear
13,24.99,12860,86,2022,105,house party
14,0,1308,54,2023,165,final fantasy 7 ever crisis
15,0,48285,11,2021,2138,war of the 3 kingdoms
16,14.99,21047,93,2019,363,chinese shit
17,5.99,17440,98,2021,1024,touhou mystia's izakaya
18,24.99,12712,92,2023,506,wandering sword
19,6.99,2469,89,2024,2469,chinese crap
20,19.99,5551,93,2020,68,suzerain
21,12.99,14596,90,2020,386,paranormal hk
22,19.99,13223,93,2019,346,yakuza kiwami
23,0,31254,85,2018,257,life is strange 2
24,39.99,2405,80,2022,72,life is strange remastered
25,22.99,728,71,2023,27,lakeburg legacies
26,80.96,2817,90,2022,40,syberia the world before
27,0,27,29,2024,27,perfect world
28,19.99,65020,89,2016,865,firewatch
29,0,521,85,2023,83,life makeover
30,39.99,1970,98,2023,241,witch ont he holy night
31,19.99,1795,75,2023,138,metal gear solid 3 snake eater
32,19.99,3127,92,2023,195,back to the dawn
33,59.99,10064,89,2021,108,life is strange true colors
34,24.99,316,91,2024,58,all quiet in the trenches
35,19.99,3276,68,2024,255,three kingdoms zhaoyun
36,19.99,9704,95,2022,122,symphony of war
37,29.99,7229,60,2024,1454,chinese crap
38,49.99,237,81,2019,0,yu-no a girl who chants love
18,19.99,748,71,2022,21,master of magic
19,19.99,18541,97,2018,276,dusk
20,20,102,95,2024,102,berserk boy
21,15.99,2222,84,2014,13,final fantasy 4 3d remake
22,29.99,326,83,2023,19,wrestlequest
23,9.99,550,98,2023,27,artificial dream in arcadia
24,29.99,886,80,2021,0,legend of mania
25,29.99,884,93,2023,29,showgunners
26,29.99,670,79,2022,12,the oregon trail
27,19.99,3418,97,2019,64,hypnospace outlaw
28,4.99,18291,95,1999,286,half-life opposing force
29,4.99,13463,92,2001,200,half life blue shift
30,9.99,3436,64,2023,81,don't scream
31,4.99,14921,96,1995,352,doom
32,4.99,7202,95,1994,153,doom 2
33,19.96,14239,91,2021,226,road 96
34,19.99,748,77,2019,16,contra collection
35,19.99,2926,77,2018,44,megaman x
36,8.99,4236,95,2023,74,amanda the andventurer
37,9.99,6499,94,1997,92,quake 2
38,19.99,3840,85,2016,30,duke nukem world 3d tour
39,14.99,2878,95,1999,22,quake 3 arena
40,9.99,11136,96,1996,1996,quake
41,4.99,5932,86,1999,56,team fortress
42,19.99,184,96,2023,184,the ninja saviors
43,14.99,3052,97,2016,13,day of the dentacle
44,4.99,6048,94,2020,91,doom 64
45,29.99,4480,88,2021,43,sourney to the savage planet
46,9.99,4638,95,2009,31,monkey island
47,9.99,11322,94,1997,118,fallout
18,4.99,55,90,2023,10,hodgepodge hunch
19,4.99,5,100,2024,5,bunny game
20,2.99,216,83,2023,26,backrooms apprehension
21,19.99,0,84,2024,0,republic of jungle
22,14.99,450,71,2015,0,castaway paradise
23,12.99,98,90,2020,0,paper pirates
24,2.99,16,75,2020,0,killer inside us
25,4.99,744,82,2021,5,untrusted_
26,0.99,184,53,2021,0,killer: infected one of us
27,12.99,4,100,2023,4,secret shuffle
28,0.99,31,87,2021,0,perfectly balanced
29,0.99,27,81,2023,27,mommy simulator
30,4.99,2,100,2021,0,the architect's game
31,29.99,10,80,2023,10,umbrella escape
32,10.99,2,100,2023,2,finis
33,9.99,0,84,2023,0,"count, connect, capture"
34,2.99,28,64,2020,0,similo
35,19.99,128,66,2016,0,werewolves within
36,19.99,10,60,2023,10,pethilim
37,0.99,119,98,2019,0,escape mind
38,0,1286,57,2023,187,deceit 2
39,24.99,999,81,2018,16,spyparty
40,10.99,0,84,2021,0,dichotomy
41,0,48,66,2023,48,spy rumble
42,9.99,365,66,2018,0,murderous pursuits
43,0,2433,80,2022,46,prison life
44,0,1049,61,2022,0,traitors in salem
45,0,3591,89,2022,55,deducto
18,34.99,8619,79,2023,454,Dune
19,29.99,121308,97,2022,1605,stray
20,59.99,222457,77,2016,1887,no man's sky
21,39.99,159775,91,2020,1691,doom eternal
22,24.99,53830,95,2020,1194,outer wilds
23,29.99,78223,91,2021,690,subautica below zero
24,39.99,118430,88,2019,1465,jedi fallen order
25,59.99,5506,89,2023,191,ratchet & clank
26,59.99,22718,84,2023,548,atomic heart
27,39.99,93181,94,2020,2618,detroit become human
28,29.99,183402,95,2016,2654,titanfall 2
29,19.99,387,77,2024,387,tribes rivals 3
30,49.99,7065,91,2023,648,robocop
31,39.99,6031,92,2023,132,system shock
32,59.99,40266,91,2021,700,mass effect legendary edition
33,39.99,46520,87,2017,676,battlefront 2
34,59.99,27895,64,2022,516,callisto protocol
35,39.99,117,86,2024,117,contra operation galliga
36,19.99,91324,89,2019,496,space engineers
37,19.99,14073,96,2022,907,signalis
38,49.99,32823,91,2022,317,star was the skywalker saga
39,9.99,155316,96,2010,1263,fallout new vegas
40,29.99,57792,96,2014,688,metalgear rising
41,59.99,3650,81,2023,62,returnal
42,54.98,13771,89,2022,174,high on life
43,24.99,11340,95,2023,588,roboquest
44,29.99,6998,80,2024,199,universim
45,19.88,3268,16,2010,257,command & conquer 2
46,24.99,105596,96,2019,1314,oxygen not included
47,39.99,3487,89,2021,100,battlesector
48,39.99,18629,93,2022,827,death stranding